time,pairs,size,migration
3.03,1,L,R
5.464,2,L,R
4.098,1.21,L,R
1.681,1.125,L,R
8.85,5.167,L,R
1.493,1,L,M
7.692,2.75,L,R
3.846,5.63,L,R
16.667,3,L,R
4.219,4.67,L,M
8.13,4.056,L,R
5,1,L,R
7.299,6.96,L,M
1,1.67,L,M
27.027,5.56,L,R
3.106,2.83,L,M
4,4.375,L,M
16.129,4.125,L,M
3.484,3.67,L,R
37.037,8.33,L,R
7.299,2.75,L,R
2.525,1.43,L,M
4.132,2,L,R
2,2.75,L,R
10,4.5,L,R
2.667,7.12,L,R
4.587,4.58,L,R
58.824,2.35,L,R
32.258,6.87,S,R
2.571,3.83,S,M
2.16,5,S,M
1,1.25,S,M
2.967,2.27,S,R
9.524,5.35,S,R
11.111,8.7,S,R
7.299,6.1,S,R
4,3.33,S,R
2.381,3.64,S,R
2.611,4.83,S,M
3.257,4.67,S,R
1.701,1.7,S,R
1.795,1.33,S,R
1.198,1,S,M
3.185,1.9,S,M
2.273,4.42,S,M
1.111,1.25,S,M
1,1,S,M
1,1,S,R
1.23,1,S,M
6.061,2.5,S,R
3.175,1.5,S,R
2,2.5,S,R
5.076,5.63,S,R
1.934,2.37,S,R
1.493,1.5,S,R
1,1,S,R
5.102,6.5,S,R
3.003,4.5,S,R
1.898,2.17,S,R
41.667,11.62,S,R
1,1,S,M
1,1,S,R
