species,val
Aedes taeniorhynchus,0.2491987
Anax imperator,2.2497184
Anisops sardeus,0.9
Anopheles quadrimaculatus,1
Atalophlebia australis,0.2526544
Caenis horaria,0.591608
Chaoborus obscuripes,0.686572
Chironomus dilutus,0.4447734
Chironomus plumosus,49.6296931
Chironomus riparius,0.1749286
Chironomus tentans,0.3887709
Claassenia sabulosa,1.0129166
Cloeon dipterum,0.4320909
Corixa punctata,2.6333972
Culex pipiens ssp. molestus,0.5477226
Culex quinquefasciatus,0.3
Deleatidium sp.,0.05
Ephemerella sp.,0.363318
Heptageniidae,7
Leptoceridae,0.8184742
Molanna angustata,7.9757131
Neoplea striola,1.8558583
Notonecta maculata,8.3446185
Parapoynx stratiotata,9.6791661
Peltodytes sp.,0.8485281
Plea minutissima,2.377768
Plecoptera,10
Procloeon sp.,0.081
Pteronarcella badia,0.8270429
Pteronarcys californica,13.4164079
Ranatra linearis,6.0144004
Sialis lutaria,1.1676936
Sigara arguta,2.16
Simulium vittatum,0.28
Xanthocnemis zealandica,8.44
