"STATUS","TL","WT","HL","SK","KL"
"Survived",156,24.1,0.71,0.57,0.82
"Survived",161,26.5,0.78,0.61,0.89
"Survived",157,24.6,0.74,0.61,0.86
"Survived",159,24.2,0.73,0.61,0.79
"Survived",158,23.6,0.7,0.6,0.82
"Survived",158,26.2,0.75,0.61,0.86
"Survived",160,26.2,0.74,0.62,0.89
"Survived",161,25.4,0.72,0.6,0.89
"Survived",160,23.7,0.73,0.59,0.82
"Survived",159,25.7,0.73,0.59,0.93
"Survived",158,25.7,0.74,0.6,0.86
"Survived",159,26.5,0.73,0.61,0.92
"Survived",166,26.7,0.77,0.6,0.88
"Survived",159,23.9,0.75,0.6,0.82
"Survived",160,24.7,0.75,0.6,0.8
"Survived",161,28,0.77,0.59,0.88
"Survived",163,27.9,0.77,0.62,0.86
"Survived",156,25.9,0.72,0.61,0.89
"Survived",165,25.7,0.75,0.61,0.87
"Survived",160,26.6,0.73,0.59,0.84
"Survived",158,23.2,0.73,0.58,0.89
"Survived",160,25.7,0.71,0.62,0.79
"Survived",159,24.3,0.72,0.62,0.85
"Survived",160,26.7,0.74,0.59,0.86
"Survived",158,24.9,0.73,0.58,0.85
"Survived",161,23.8,0.74,0.6,0.78
"Survived",160,25.6,0.76,0.61,0.9
"Survived",160,27,0.75,0.63,0.87
"Survived",153,24.7,0.73,0.59,0.88
"Perished",165,26.5,0.74,0.61,0.85
"Perished",160,26.1,0.74,0.61,0.84
"Perished",161,25.6,0.74,0.6,0.83
"Perished",162,25.9,0.74,0.61,0.87
"Perished",163,25.5,0.75,0.62,0.89
"Perished",162,27.6,0.73,0.6,0.87
"Perished",163,25.8,0.69,0.6,0.84
"Perished",161,24.9,0.74,0.58,0.8
"Perished",160,26,0.75,0.6,0.8
"Perished",162,26.5,0.72,0.61,0.81
"Perished",160,26,0.73,0.6,0.85
"Perished",161,27.1,0.74,0.63,0.85
"Perished",162,25.1,0.74,0.59,0.84
"Perished",165,26,0.73,0.61,0.89
"Perished",161,25.6,0.71,0.61,0.83
"Perished",161,25,0.7,0.6,0.87
"Perished",162,24.6,0.71,0.59,0.84
"Perished",164,25,0.7,0.61,0.8
"Perished",158,26,0.73,0.61,0.8
"Perished",162,28.3,0.75,0.6,0.86
"Perished",156,24.6,0.66,0.57,0.81
"Perished",166,27.5,0.72,0.61,0.85
"Perished",165,31,0.76,0.61,0.9
"Perished",166,28.3,0.75,0.61,0.92
"Survived",156,24.6,0.74,0.59,0.85
"Survived",156,25.5,0.76,0.62,0.82
"Survived",163,24.8,0.74,0.61,0.85
"Survived",163,26.3,0.74,0.61,0.84
"Survived",160,24.4,0.75,0.6,0.89
"Survived",156,23.3,0.69,0.59,0.77
"Survived",162,26.7,0.76,0.63,0.88
"Survived",163,26.4,0.77,0.61,0.89
"Survived",164,26.9,0.75,0.62,0.89
"Survived",163,24.3,0.72,0.61,0.89
"Survived",160,27,0.76,0.62,0.85
"Survived",160,26.8,0.76,0.63,0.84
"Survived",158,24.9,0.75,0.59,0.87
"Survived",158,26.1,0.74,0.6,0.82
"Survived",158,26.6,0.75,0.61,0.89
"Survived",155,23.3,0.69,0.59,0.79
"Perished",160,24,0.74,0.62,0.84
"Perished",156,26.8,0.69,0.56,0.83
"Perished",158,23.5,0.71,0.6,0.81
"Perished",166,26.9,0.71,0.6,0.85
"Perished",165,28.6,0.77,0.61,0.85
"Perished",157,24.7,0.68,0.6,0.77
"Perished",164,27.3,0.76,0.59,0.86
"Perished",166,25.7,0.75,0.6,0.86
