COUNTRY,LDEBT,LDEFOREST,LPOP
Brazil,11.36669666,9.405084449,11.76310036
Mexico,11.28493268,7.893572074,11.2144453
Ecuador,8.852235835,7.350516172,9.076866121
Colombia,9.220389708,7.313220387,10.21295558
Venezuela,10.12141754,7.265429723,9.690943874
Peru,9.278653012,7.13089883,9.825336804
Nicaragua,8.290292591,6.309918278,8.013508676
Argentina,10.50955063,5.991464547,10.28876696
Bollivia,8.245384468,5.703782475,8.694585955
Paraguay,7.299121463,5.521460918,8.138710755
CostaRica,8.135346949,4.49980967,7.799548379
